@relation rhythmFlagCount

@attribute 2W numeric
@attribute W numeric
@attribute 1/2 numeric
@attribute 1/4 numeric
@attribute 1/8 numeric
@attribute 1/16 numeric
@attribute 1/32 numeric
@attribute 1/64 numeric
@attribute 1/128 numeric
@attribute triplet numeric
@attribute grade {1,2,3,4,5,6,7,8}

@data
0,0,1,33,100,127,0,0,0,0,5
0,0,0,37,63,2,0,0,0,0,5
0,0,1,19,158,147,4,0,0,0,5
0,0,6,53,64,2,0,0,0,0,5
0,0,2,39,29,18,0,0,0,0,5
0,0,4,23,50,49,6,0,0,0,5
0,0,2,20,68,48,0,0,0,0,5
0,0,7,48,209,87,0,0,0,0,5
0,0,4,58,105,83,0,0,0,0,5
0,0,1,31,65,12,0,0,0,0,5
0,0,0,0,11,131,190,0,0,0,5
0,0,2,43,501,295,16,0,0,0,6
0,0,0,58,328,111,0,0,0,0,6
0,0,3,4,168,191,3,0,0,0,6
0,0,0,17,125,233,118,24,0,0,6
0,0,1,11,104,97,14,0,0,0,6
0,0,0,7,97,96,18,0,0,0,6
0,0,1,35,169,205,141,8,0,0,6
0,0,0,20,129,280,210,32,0,0,6
0,0,9,74,93,187,0,0,0,0,6
0,0,2,34,48,5,0,0,0,0,6
0,0,0,52,117,110,0,0,0,0,6
0,0,1,18,135,206,16,0,0,0,6
0,0,3,7,106,18,0,0,0,0,6
0,0,2,33,117,78,0,0,0,0,6
0,0,1,12,145,232,0,0,0,0,6
0,0,1,4,130,331,0,0,0,0,6
0,0,0,6,61,127,25,0,0,0,6
0,0,0,9,49,12,0,0,0,0,6
0,0,1,9,40,56,16,0,0,0,6
0,0,6,23,277,153,4,0,0,0,6
0,0,3,43,501,295,16,0,0,0,6
0,0,0,23,75,124,17,0,0,0,6
0,0,1,26,66,17,8,0,0,0,6
0,0,2,33,132,196,0,0,0,0,6
0,0,1,40,56,8,0,0,0,0,6
0,0,6,113,298,461,8,0,0,0,6
0,0,1,31,127,111,2,0,0,0,6
0,0,3,9,70,115,0,0,0,0,6
0,0,2,5,109,317,0,0,0,0,7
0,0,19,152,262,446,16,0,0,0,7
0,0,2,12,200,348,81,16,0,0,7
0,0,15,146,266,260,32,0,0,0,7
0,0,0,9,147,227,151,12,0,0,7
0,0,0,26,161,138,12,0,0,0,7
0,0,9,74,93,187,0,0,0,0,7
0,0,1,15,115,295,42,0,0,0,7
0,0,7,72,200,98,6,0,0,0,7
0,0,12,40,166,121,70,0,0,0,7
0,0,2,40,60,205,80,0,0,0,7
0,0,0,18,87,26,2,0,0,0,7
0,0,9,34,154,121,44,0,0,0,7
0,0,0,2,70,49,117,0,0,0,7
0,0,0,8,69,158,4,0,0,0,7
0,0,12,41,329,138,12,0,0,0,7
0,0,9,26,178,229,0,0,0,0,7
0,0,4,20,108,222,8,0,0,0,7
0,0,6,97,353,595,46,0,0,0,7
0,0,1,33,95,124,208,0,0,0,8
0,0,1,13,187,389,13,8,0,0,8
0,0,0,12,115,300,356,72,0,0,8
0,0,15,86,193,263,14,0,0,0,8
0,0,9,72,214,268,0,0,0,0,8
0,0,1,26,88,15,0,0,0,0,8
0,0,8,40,380,307,40,4,0,0,8
0,0,2,37,420,194,162,0,0,0,8
0,0,5,37,283,345,71,0,0,0,8
0,0,1,11,112,323,290,0,0,0,8
