@relation noteCountHighestFret

@attribute a numeric
@attribute a# numeric
@attribute b numeric
@attribute c numeric
@attribute c# numeric
@attribute d numeric
@attribute d# numeric
@attribute e numeric
@attribute f numeric
@attribute f# numeric
@attribute g numeric
@attribute g# numeric
@attribute highestFret numeric
@attribute grade {1,2,3,4,5,6,7,8}

@data
14,14,1,28,0,12,1,18,30,0,10,0,5,3
6,6,0,10,0,5,0,7,16,0,12,0,3,3
10,12,4,42,0,8,18,2,12,0,24,0,5,3
4,28,8,33,0,15,10,0,10,0,17,2,3,3
14,4,0,25,0,6,2,11,29,0,14,0,3,3
11,34,0,25,0,23,8,8,17,0,16,0,5,3
13,17,7,41,0,20,20,7,15,0,25,2,5,3
23,26,3,48,0,25,4,16,22,0,39,0,5,3
6,9,2,26,0,5,11,5,23,0,20,0,5,3
91,13,3,40,9,65,0,47,66,4,47,0,7,3
12,35,11,52,0,51,61,0,44,0,56,4,5,3
3,11,4,30,0,14,21,4,15,0,23,7,8,3
88,59,6,47,5,85,13,7,24,22,77,0,11,3
46,12,1,30,9,31,0,24,41,3,26,0,5,3
34,26,0,44,0,19,0,22,59,0,29,0,7,4
1,25,0,34,11,2,14,7,29,0,27,35,8,4
55,19,4,22,12,48,0,26,27,3,30,0,7,4
27,20,0,13,0,33,3,6,9,4,25,0,7,4
86,81,19,67,4,162,16,25,24,27,126,0,7,4
14,1,16,30,0,15,0,18,13,1,25,0,3,4
25,21,2,16,0,26,11,5,9,9,31,0,11,4
35,20,6,17,4,51,3,11,22,11,41,0,7,4
13,14,0,7,0,19,0,3,16,5,29,0,4,4
30,0,16,14,1,46,0,11,1,11,28,0,7,4
31,16,0,66,0,11,0,30,50,0,60,0,5,4
21,0,16,8,0,22,0,7,1,7,22,0,7,4
10,4,11,39,0,13,0,17,15,0,29,0,7,4
26,22,1,13,0,38,0,2,9,7,23,0,7,4
17,36,1,16,0,36,3,0,14,7,25,0,11,4
45,0,34,26,1,55,0,6,9,4,47,0,10,4
0,14,5,23,0,16,23,1,14,0,27,9,8,4
17,22,7,15,0,44,4,1,21,1,43,0,11,4
31,10,0,6,4,22,0,20,18,0,19,0,5,4
9,15,18,34,0,22,39,0,33,1,50,13,5,4
174,166,15,110,0,171,50,29,68,48,213,2,8,5
101,88,6,63,5,100,31,18,58,29,142,0,11,5
3,24,0,54,16,2,26,10,38,1,27,37,8,5
77,81,14,73,1,107,43,20,55,29,107,0,7,5
5,32,9,57,0,31,42,5,29,1,65,24,8,5
57,67,5,52,0,68,28,6,29,24,82,1,7,5
24,0,25,29,1,50,0,16,0,13,55,0,7,5
26,43,28,77,0,57,67,12,74,0,107,21,7,5
43,0,30,21,1,58,0,10,0,15,45,0,7,5
31,0,18,16,4,38,0,13,1,19,34,0,7,5
29,20,1,31,0,19,0,23,41,0,24,0,8,5
45,0,37,31,3,57,0,18,5,13,31,1,10,5
83,0,92,64,7,95,0,52,6,32,112,1,7,5
99,0,36,8,38,77,0,38,0,47,48,9,7,5
12,43,0,29,27,4,17,0,39,13,2,25,8,5
63,52,5,58,0,44,3,44,63,0,63,0,5,5
190,0,160,123,15,193,1,124,10,136,276,6,10,6
145,66,26,92,17,127,8,63,99,8,95,2,8,6
141,31,28,57,29,104,0,88,65,21,87,6,7,6
92,78,22,136,0,80,8,69,123,16,100,0,11,6
54,40,13,75,0,38,0,34,76,3,53,0,7,6
67,57,7,48,0,75,18,11,33,22,59,0,11,6
119,123,22,75,1,160,51,18,49,60,172,3,8,6
149,7,124,110,31,167,0,100,45,71,184,1,11,6
88,0,86,65,7,79,0,62,7,48,101,4,10,6
45,0,14,2,18,38,0,19,0,17,19,3,7,6
8,59,1,107,27,8,40,30,73,1,87,78,8,6
18,54,25,108,0,77,68,10,48,12,126,30,11,6
34,42,1,26,1,62,11,5,29,13,52,0,8,6
71,8,48,48,4,71,0,26,26,9,66,0,10,6
48,42,29,92,0,78,50,32,71,1,101,3,7,6
102,88,6,63,5,100,31,18,59,29,141,0,11,6
58,43,4,48,0,45,1,25,47,6,66,0,8,6
17,1,16,54,0,19,0,17,21,4,39,0,10,6
45,0,34,26,1,55,0,6,9,4,47,0,10,6
148,18,37,56,35,150,0,93,95,14,74,0,7,6
191,0,161,122,15,196,1,124,11,136,278,6,10,6
61,53,8,38,2,75,8,22,26,23,76,0,8,6
2,25,0,65,5,5,28,21,41,0,37,41,8,6
15,73,1,106,22,27,43,33,100,0,74,67,8,6
46,14,7,21,9,44,0,29,28,8,31,3,5,6
245,117,24,128,34,157,5,121,187,19,169,1,13,6
13,33,12,62,0,56,67,0,45,4,71,19,11,6
39,37,0,27,0,39,18,2,26,5,50,1,7,6
91,88,10,70,6,93,25,24,57,27,107,0,8,7
163,184,23,106,22,227,74,50,124,61,232,7,11,7
211,4,159,141,11,103,0,190,65,18,112,34,10,7
220,10,121,17,97,170,0,112,1,119,108,33,7,7
159,120,12,89,10,180,39,33,49,40,166,1,11,7
60,87,12,65,1,99,33,6,24,27,94,0,11,7
88,0,86,65,7,79,0,62,7,48,101,4,10,7
11,64,25,103,1,63,65,25,77,3,129,65,8,7
105,1,94,61,11,104,0,40,13,31,131,5,15,7
84,0,143,39,21,65,40,95,0,57,104,8,7,7
10,73,6,115,30,33,65,24,102,1,81,65,8,7
29,40,7,35,0,48,8,4,16,15,47,0,7,7
110,0,84,60,6,122,0,27,13,30,91,0,10,7
76,1,54,53,7,60,0,50,10,17,59,5,10,7
42,62,0,49,0,26,24,18,73,2,34,7,11,7
164,0,122,123,15,110,0,84,23,26,127,11,7,7
87,109,13,91,0,143,38,18,50,37,132,1,11,7
24,36,30,80,0,43,50,11,62,0,119,21,7,7
49,145,48,243,2,185,188,24,148,13,247,106,13,7
116,62,44,73,24,110,26,71,45,36,99,10,10,8
157,122,25,100,23,157,32,59,62,48,172,2,8,8
246,13,134,22,112,182,0,127,5,141,131,34,10,8
200,28,18,75,19,133,0,69,105,31,82,0,12,8
147,69,10,107,16,99,0,74,132,16,82,0,11,8
31,28,6,24,0,48,4,7,21,8,42,0,7,8
230,173,26,148,0,301,52,19,81,85,233,0,11,8
180,137,32,143,24,198,50,74,105,53,214,1,8,8
214,63,80,110,45,189,19,131,82,47,131,36,11,8
107,1,122,123,6,157,20,69,23,54,286,0,7,8
