@relation fretCount

@attribute [1][0] numeric
@attribute [1][1] numeric
@attribute [1][2] numeric
@attribute [1][3] numeric
@attribute [1][4] numeric
@attribute [1][5] numeric
@attribute [1][6] numeric
@attribute [1][7] numeric
@attribute [1][8] numeric
@attribute [1][9] numeric
@attribute [1][10] numeric
@attribute [1][11] numeric
@attribute [1][12] numeric
@attribute [1][13] numeric
@attribute [1][14] numeric
@attribute [1][15] numeric
@attribute [2][0] numeric
@attribute [2][1] numeric
@attribute [2][2] numeric
@attribute [2][3] numeric
@attribute [2][4] numeric
@attribute [2][5] numeric
@attribute [2][6] numeric
@attribute [2][7] numeric
@attribute [2][8] numeric
@attribute [2][9] numeric
@attribute [2][10] numeric
@attribute [2][11] numeric
@attribute [2][12] numeric
@attribute [2][13] numeric
@attribute [2][14] numeric
@attribute [2][15] numeric
@attribute [3][0] numeric
@attribute [3][1] numeric
@attribute [3][2] numeric
@attribute [3][3] numeric
@attribute [3][4] numeric
@attribute [3][5] numeric
@attribute [3][6] numeric
@attribute [3][7] numeric
@attribute [3][8] numeric
@attribute [3][9] numeric
@attribute [3][10] numeric
@attribute [3][11] numeric
@attribute [3][12] numeric
@attribute [3][13] numeric
@attribute [3][14] numeric
@attribute [3][15] numeric
@attribute [4][0] numeric
@attribute [4][1] numeric
@attribute [4][2] numeric
@attribute [4][3] numeric
@attribute [4][4] numeric
@attribute [4][5] numeric
@attribute [4][6] numeric
@attribute [4][7] numeric
@attribute [4][8] numeric
@attribute [4][9] numeric
@attribute [4][10] numeric
@attribute [4][11] numeric
@attribute [4][12] numeric
@attribute [4][13] numeric
@attribute [4][14] numeric
@attribute [4][15] numeric
@attribute [5][0] numeric
@attribute [5][1] numeric
@attribute [5][2] numeric
@attribute [5][3] numeric
@attribute [5][4] numeric
@attribute [5][5] numeric
@attribute [5][6] numeric
@attribute [5][7] numeric
@attribute [5][8] numeric
@attribute [5][9] numeric
@attribute [5][10] numeric
@attribute [5][11] numeric
@attribute [5][12] numeric
@attribute [5][13] numeric
@attribute [5][14] numeric
@attribute [5][15] numeric
@attribute [6][0] numeric
@attribute [6][1] numeric
@attribute [6][2] numeric
@attribute [6][3] numeric
@attribute [6][4] numeric
@attribute [6][5] numeric
@attribute [6][6] numeric
@attribute [6][7] numeric
@attribute [6][8] numeric
@attribute [6][9] numeric
@attribute [6][10] numeric
@attribute [6][11] numeric
@attribute [6][12] numeric
@attribute [6][13] numeric
@attribute [6][14] numeric
@attribute [6][15] numeric
@attribute grade {1,2,3,4,5,6,7,8}

@data
8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
26,0,18,0,18,11,1,5,0,0,1,0,0,0,0,0,25,0,22,2,19,2,0,0,0,0,0,0,0,0,0,0,14,0,15,11,3,2,0,1,0,0,0,0,0,0,0,0,2,1,17,0,5,0,4,1,0,0,0,0,0,0,0,0,4,0,6,0,12,0,1,3,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,2
12,0,11,8,1,10,0,1,0,0,0,0,0,0,0,0,9,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,15,0,8,0,5,1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
5,0,1,0,4,6,0,4,0,0,0,0,0,0,0,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
9,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,7,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,0,2,3,0,3,0,0,0,0,0,0,0,0,0,0,5,2,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2
46,14,9,14,6,7,0,0,0,0,0,0,0,0,0,0,39,44,1,36,0,0,0,0,0,0,0,0,0,0,0,0,1,10,7,24,0,1,0,0,0,0,0,0,0,0,0,0,10,0,21,6,1,1,0,0,0,0,0,0,0,0,0,0,11,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2
8,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,7,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
6,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,0,9,4,0,1,0,0,0,0,0,0,0,0,0,0,4,2,8,17,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,15,0,2,0,0,0,0,0,0,0,0,0,0,12,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
56,3,32,23,8,16,0,6,0,0,0,3,0,0,0,0,74,49,14,47,0,0,0,0,3,0,0,0,0,0,0,0,18,27,45,98,0,0,0,0,0,0,0,0,0,0,0,0,22,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2
9,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,23,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,3,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,14,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,26,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
28,0,19,7,0,3,0,0,0,0,0,0,0,0,0,0,20,0,25,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,24,0,0,0,0,0,0,0,0,0,0,0,0,13,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
14,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,23,21,3,0,0,0,0,0,0,0,0,0,0,0,4,0,14,26,0,0,0,0,0,0,0,0,0,0,0,0,7,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
11,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,5,4,0,0,0,0,0,0,0,0,0,0,0,6,9,5,11,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
8,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,7,7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3
9,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
7,0,8,2,1,1,0,0,0,0,0,0,0,0,0,0,9,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,3,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,3
5,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
16,0,10,8,0,4,0,0,0,0,0,0,0,0,0,0,8,16,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
6,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,12,8,22,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3
14,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
14,0,6,14,0,2,0,0,0,0,0,0,0,0,0,0,18,4,8,14,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3
14,2,10,4,1,1,0,0,0,0,0,0,0,0,0,0,20,15,7,14,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3
26,0,21,14,0,5,0,0,0,0,0,0,0,0,0,0,19,4,16,19,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,26,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3
11,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,5,6,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,18,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
40,0,42,12,2,12,0,2,0,0,0,0,0,0,0,0,35,0,47,49,0,1,0,1,0,0,0,0,0,0,0,0,33,1,1,18,6,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3
29,2,10,7,0,2,0,0,0,0,0,0,0,0,0,0,46,55,0,44,0,0,0,0,0,0,0,0,0,0,0,0,2,13,11,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3
15,5,1,6,1,5,0,2,2,0,0,0,0,0,0,0,9,13,4,9,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,16,0,2,0,0,0,0,0,0,0,0,0,0,6,0,8,2,0,2,0,0,0,0,0,0,0,0,0,0,9,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
41,0,53,44,0,30,4,23,2,0,5,2,0,0,0,0,53,5,7,9,18,2,0,2,2,0,0,1,0,0,0,0,31,9,6,13,0,0,0,0,0,0,0,0,0,0,0,0,10,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,17,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,3
14,0,12,4,0,3,0,0,0,0,0,0,0,0,0,0,14,0,19,25,0,0,0,0,0,0,0,0,0,0,0,0,15,5,1,20,9,4,0,0,0,0,0,0,0,0,0,0,13,3,9,0,11,0,0,0,0,0,0,0,0,0,0,0,7,0,13,0,5,3,0,0,0,0,0,0,0,0,0,0,3,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,3
18,0,21,11,0,7,0,1,0,0,0,0,0,0,0,0,11,0,21,37,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,23,0,0,0,0,0,0,0,0,0,0,0,0,22,0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,14,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,4
15,16,0,9,0,6,1,0,1,0,0,0,0,0,0,0,2,8,5,17,0,1,1,0,0,0,0,0,0,0,0,0,0,9,0,17,6,0,1,0,1,0,0,0,0,0,0,0,11,0,8,11,1,1,0,1,0,0,0,0,0,0,0,0,10,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,3,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4
23,0,32,15,0,6,0,1,0,0,0,0,0,0,0,0,23,0,26,21,0,2,0,0,0,0,0,0,0,0,0,0,13,4,4,10,12,8,0,0,0,0,0,0,0,0,0,0,6,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4
11,0,16,13,0,5,0,6,0,0,0,0,0,0,0,0,18,1,5,4,3,4,0,0,0,0,0,0,0,0,0,0,6,2,0,4,0,1,1,0,0,0,0,0,0,0,0,0,5,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,7,1,1,0,1,1,0,0,0,0,0,0,0,0,4,0,4,5,0,0,0,1,0,0,0,0,0,0,0,0,4
56,0,57,42,3,31,0,12,0,0,0,0,0,0,0,0,93,4,21,11,11,6,0,0,0,0,0,0,0,0,0,0,25,23,10,18,4,4,2,0,0,0,0,0,0,0,0,0,13,16,30,0,0,2,0,0,0,0,0,0,0,0,0,0,18,0,49,10,4,0,0,0,0,0,0,0,0,0,0,0,34,0,4,14,6,0,0,4,0,0,0,0,0,0,0,0,4
6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,18,11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,16,22,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
19,0,18,11,1,4,0,2,0,0,0,1,0,0,0,0,14,5,5,7,6,2,0,2,1,0,0,0,0,0,0,0,4,5,1,8,0,1,0,0,1,0,0,0,0,0,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,4
24,0,15,12,0,4,0,1,0,0,0,0,0,0,0,0,33,2,10,15,5,0,0,0,0,0,0,0,0,0,0,0,16,5,5,6,4,0,0,0,0,0,0,0,0,0,0,0,7,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,17,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,4
15,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,9,5,0,0,0,0,0,0,0,0,0,0,0,5,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4
10,0,15,0,10,7,0,5,0,0,0,0,0,0,0,0,20,0,11,1,11,2,0,0,0,0,0,0,0,0,0,0,5,0,3,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,4
